7+4,chessmaster987,1996,gmanderson,2193,4,resign,black,w,197,A03,2,Bird Opening: Dutch Variation
10+0,shakailham,1915,mobin1388,1807,66,mate,black,b,108,A03,2,Bird Opening: Dutch Variation
5+10,dpoty,1445,septagonizate,1210,76,mate,black,b,235,A03,2,Bird Opening: Dutch Variation
5+10,dpoty,1444,chessgpi,1491,40,mate,black,w,47,A03,2,Bird Opening: Dutch Variation
5+10,dpoty,1441,tonypons,1807,108,mate,black,w,366,A03,2,Bird Opening: Dutch Variation
5+8,dipset,1478,rchevezzepeda,1488,58,mate,black,w,10,A03,2,Bird Opening: Dutch Variation
7+7,dipset,1480,wansilence,1607,116,resign,black,w,127,A03,2,Bird Opening: Dutch Variation
5+8,mossall,1783,slon-al,1797,38,mate,black,w,14,A02,2,Bird Opening: From's Gambit
5+5,stevepb,1386,chuckrh,1640,38,mate,black,w,254,A02,2,Bird Opening: From's Gambit
10+0,anferneemcgrady,1821,runcrazex,2211,16,mate,black,w,390,A02,2,Bird Opening: From's Gambit
19+0,chiv-is-beast6969,946,coolfan4545,1545,12,resign,black,w,599,A02,2,Bird Opening: From's Gambit
10+0,shafer24,1634,tfeng,1603,92,resign,black,b,31,C23,3,Bishop's Opening
15+15,eagle77,1229,marcoajedrez,1160,22,resign,black,b,69,C23,3,Bishop's Opening
10+0,crameshnayak,1676,crax_is_bax,1637,80,resign,black,b,39,C23,3,Bishop's Opening
10+0,mathhopper,1369,quantummequanic,1413,58,mate,black,w,44,C23,3,Bishop's Opening
8+0,mathhopper,1331,quantummequanic,1434,84,mate,black,w,103,C23,3,Bishop's Opening
10+0,ethan_3f,1441,scorpion2248,1338,41,resign,black,b,103,C23,3,Bishop's Opening
10+0,businessman47,1163,tolia,1985,22,mate,black,w,822,C23,3,Bishop's Opening
10+3,businessman47,1158,maxsacl,1383,78,resign,black,w,225,C23,3,Bishop's Opening
20+0,businessman47,1158,whiskeyinthejar,1191,62,mate,black,w,33,C23,3,Bishop's Opening
13+1,businessman47,1161,romanozvj,1200,60,mate,black,w,39,C23,3,Bishop's Opening
10+0,dahabi,1932,odxaan,1951,68,resign,black,w,19,C23,3,Bishop's Opening
10+0,dahabi,1929,odxaan,1955,126,resign,black,w,26,C23,3,Bishop's Opening
10+0,piley159,1153,borbapvb,1370,14,resign,black,w,217,C23,3,Bishop's Opening
20+15,amaozinhadotemer,1155,misfox,1170,44,resign,black,w,15,C23,3,Bishop's Opening
10+0,samuelpro,1164,luupuus,1616,18,resign,black,w,452,C23,3,Bishop's Opening
10+0,samuelpro,1209,derya-66,1320,76,mate,black,w,111,C23,3,Bishop's Opening
10+0,mrunobservant,1013,jayblackington,1206,98,time,black,w,193,C23,3,Bishop's Opening
20+0,hightwaytohell,1575,achikotetunashvili,1640,10,resign,black,w,65,C23,3,Bishop's Opening
15+0,miguel1403,1422,eche777,1336,14,resign,black,b,86,C23,3,Bishop's Opening
10+0,chez91,1529,vsirk,1729,28,resign,black,w,200,C23,3,Bishop's Opening
10+0,hd_aslani,1447,aimery,1485,126,resign,black,w,38,C23,3,Bishop's Opening
10+0,hd_aslani,1472,ajay_27,1468,52,mate,black,b,4,C23,3,Bishop's Opening
10+0,sckynie,1401,hd_aslani,1429,30,resign,black,w,28,C23,3,Bishop's Opening
7+2,kovlapav50,1579,mohammad1361,1760,92,resign,black,w,181,C24,4,Bishop's Opening: Berlin Defense
